Root -9223372036245908735: #dirs=0, #files=10, size = 1048576000000 = 976.563 GB, found=0, notFound=10
Root -9223372036243895039: #dirs=0, #files=10, size = 1120 = 1.094 KB, found=0, notFound=10
Root -9223372036243878655: #dirs=0, #files=2, size = 84 = 84 B, found=0, notFound=2
Root -9223372036243871487: #dirs=0, #files=100, size = 11290 = 11.025 KB, found=0, notFound=100
Root -9223372036243762431: #dirs=0, #files=2, size = 87 = 87 B, found=0, notFound=2
Root -9223372036243761919: #dirs=0, #files=100, size = 1048576000000 = 976.563 GB, found=0, notFound=100
Root -9223372036241650687: #dirs=0, #files=100, size = 11290 = 11.025 KB, found=0, notFound=100
Root -9223372036241542143: #dirs=0, #files=2, size = 88 = 88 B, found=0, notFound=2
Root -9223372036241534463: #dirs=0, #files=3, size = 336 = 336 B, found=0, notFound=3
Root -9223372036241524735: #dirs=0, #files=2, size = 85 = 85 B, found=0, notFound=2
Root -9223372036241524223: #dirs=0, #files=3, size = 3145728000000 = 2.861 TB, found=0, notFound=3
Root -9223372036235515903: #dirs=0, #files=3, size = 336 = 336 B, found=0, notFound=3
Root -9223372036235506687: #dirs=0, #files=2, size = 84 = 84 B, found=0, notFound=2
Root -9223372036235499519: #dirs=0, #files=30, size = 3380 = 3.301 KB, found=0, notFound=30
Root -9223372036235462143: #dirs=0, #files=2, size = 86 = 86 B, found=0, notFound=2
Root -9223372036235461631: #dirs=0, #files=30, size = 3145728000000 = 2.861 TB, found=0, notFound=30
Root -9223372036229433599: #dirs=0, #files=30, size = 3380 = 3.301 KB, found=0, notFound=30
Root -9223372036229396735: #dirs=0, #files=2, size = 86 = 86 B, found=0, notFound=2
Root -9223372036229389567: #dirs=0, #files=300, size = 34090 = 33.291 KB, found=0, notFound=300
Root -9223372036229075711: #dirs=0, #files=2, size = 88 = 88 B, found=0, notFound=2
Root -9223372036229075199: #dirs=0, #files=300, size = 3145728000000 = 2.861 TB, found=0, notFound=300
Root -9223372036222691839: #dirs=0, #files=300, size = 34090 = 33.291 KB, found=0, notFound=300
Root -9223372036222371327: #dirs=0, #files=5, size = 560 = 560 B, found=0, notFound=5
Root -9223372036202205437: #dirs=0, #files=3, size = 336 = 336 B, found=0, notFound=3
Root -9223372036202196735: #dirs=0, #files=2, size = 84 = 84 B, found=0, notFound=2
Root -9223372036202196223: #dirs=0, #files=3, size = 3145728000000 = 2.861 TB, found=0, notFound=3
Root -9223372036196187647: #dirs=0, #files=3, size = 336 = 336 B, found=0, notFound=3
Root -9223372036196178943: #dirs=0, #files=2, size = 84 = 84 B, found=0, notFound=2
Root -9223372036196171775: #dirs=0, #files=30, size = 3380 = 3.301 KB, found=0, notFound=30
Root -9223372036196134399: #dirs=0, #files=2, size = 86 = 86 B, found=0, notFound=2
Root -9223372036196133887: #dirs=0, #files=30, size = 3145728000000 = 2.861 TB, found=0, notFound=30
Root -9223372036190109695: #dirs=0, #files=30, size = 3380 = 3.301 KB, found=0, notFound=30
Root -9223372036190072831: #dirs=0, #files=2, size = 87 = 87 B, found=0, notFound=2
Root -9223372036190065663: #dirs=0, #files=300, size = 34090 = 33.291 KB, found=0, notFound=300
Root -9223372036189751807: #dirs=0, #files=2, size = 88 = 88 B, found=0, notFound=2
Root -9223372036189751295: #dirs=0, #files=300, size = 3145728000000 = 2.861 TB, found=0, notFound=300
Root -9223372036183362047: #dirs=0, #files=300, size = 34090 = 33.291 KB, found=0, notFound=300
Root -9223372036183048703: #dirs=0, #files=2, size = 88 = 88 B, found=0, notFound=2
Root -9223372036183041535: #dirs=0, #files=5, size = 560 = 560 B, found=0, notFound=5
Root -9223372036183029759: #dirs=0, #files=2, size = 86 = 86 B, found=0, notFound=2
Root -9223372036183029247: #dirs=0, #files=5, size = 5242880000000 = 4.768 TB, found=0, notFound=5
Root -9223372036173020159: #dirs=0, #files=5, size = 560 = 560 B, found=0, notFound=5
Root -9223372036173008895: #dirs=0, #files=2, size = 85 = 85 B, found=0, notFound=2
Root -9223372036173001727: #dirs=0, #files=50, size = 5640 = 5.508 KB, found=0, notFound=50
Root -9223372036172943871: #dirs=0, #files=2, size = 87 = 87 B, found=0, notFound=2
Root -9223372036172943359: #dirs=0, #files=50, size = 5242880000000 = 4.768 TB, found=0, notFound=50
